,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
LTHN,CryptoNight-V7,PoW,441250233.377,999481516,-0.13634561790249655,-2.3068921621451417,0.39875499494038846,Lethean,3
GER,Scrypt,PoW/PoS,4911500269.41,50000000000,0.0741437474722879,1.0917529981926788,-0.45827967060350877,GermanCoin,0
LTCU,Scrypt,PoW/PoS,8419402.321,150000000,-0.339044647796026,1.1127458361078768,-0.4565423064552281,LiteCoin Ultra,0
POP,Scrypt,PoW,3964201248.87125,4999999999,-0.09065211644442786,-1.0644561083679263,0.017703694111910615,PopularCoin,3
PNX,X11,PoW/PoS,45174214.1078625,50000000,-0.38399548683154505,1.194059213431176,-0.48573588575404164,PhantomX,0
PHO,BLAKE256,PoW,30089671530.5228, 90000000000,1.085918127082717,-1.2874098969037262,0.18714306240665896,Photon,3
SUCR,X11,PoW,4229040.50393462,19800000,-0.21903067501579113,-0.9826054006939586,-0.011177585723871748,Sucre,3
SPK,NeoScrypt,PoW,7847417.33355824,21000000,-0.18219850865742385,-1.5956331070124317,0.26351298663084843,SparksPay,3
WAGE,Quark,PoS,27299680.0,120000000,-0.35415783498579817,1.453071935283485,-0.2458184373105072,Digiwage,0
GUN,NeoScrypt,PoW,299797953.0,500000000,-0.17523611878368164,-1.5957291515497052,0.26348639142751473,GunCoin,3
IRL,Scrypt,PoW,45483049.3398182,64000000,-0.17352193261718638,-1.063859242136969,0.018014561705388465,IrishCoin,3
TROLL,Scrypt,PoW/PoS,591022748.0,900000000,-0.32660974594940584,1.1126496096792158,-0.45658902252376454,Trollcoin,0
LCP,Scrypt,PoW/PoS,2504486.227718,4000000,-0.3401515809607462,1.1128109645782993,-0.4565375596069124,Litecoin Plus,0
MONK,X11,PoS,4407252.0,21000000,-0.3429762488782238,0.9610693645525774,-0.2683941252597939,Monkey Project,0
PCOIN,X11,PoW,8478104.33969947,23000000,-0.21895607046756757,-0.9826050502238785,-0.01117785635273941,Pioneer Coin,3
UBTC,SHA-256,PoW,20166000.0,20166000,-0.14746615707393607,-1.3426875490973553,0.1582551351999393,UnitedBitcoin,3
ITZ,C11,PoW,11916588.09471,23000000,-0.21315872869870026,-1.1928717378083684,0.1359185525080559,Interzone,3
TPAY,POS 3.0,PoS,20445861.5344251,25000000,-0.3439606026689704,1.4412574857223188,-0.29530763520844866,TokenPay,0
MCT,Ethash,PoS,1618033.0,1618033,-0.2802744309190008,-0.1676165360483919,0.0741267918994168,1717 Masonic Commemorative Token,3
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000,-0.30378796629975774,0.5159863983835861,-0.377016138441375,My Big Coin,0
TRTL,CryptoNight,PoW,53139835213.77,1000000000000,8.037189830254666,-2.7612609490963296,0.30085437140131654,TurtleCoin,3
MUN,SkunkHash,PoW,4818338.98949984,16600000,-0.13858478139456973,-2.2548303354549697,0.25294737940197826,MUNcoin,3
USX,Scrypt,PoW/PoS,234846265.782157,232000000,-0.33569640663849115,1.112805549181024,-0.4565539947933541,Unified Society USDEX,0
NBR,CryptoNight,PoW,133932467.774108,336000000,0.30516406176192606,-2.3207231812529177,0.3338618620813021,Niobio Cash,3
SSS,Scrypt,PoW,10000000000.0,10000000000,0.018543851549773047,-1.0641689106876855,0.017305236370690157,ShareChain,3
TRF,Dagger,PoW,107325266.027783,100000000,-0.13946139025101362,-2.387682055625133,0.2921607330692178,Travelflex,3
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000,-0.1768656198389934,-1.338032352211856,0.19770703792470143,KREDS,3
TOKC,X13,PoS,230298925.0,800000000,-0.22340552277183073,1.5612696982687857,-0.27226842202669016,Tokyo Coin,0
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000,-0.18524066153438237,3.039359803857012,9.801262834230586,BiblePay,1
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000,-0.3515938326912422,2.9368503729365543,14.696122962047099,LitecoinCash,1
FLIP,Scrypt,PoW,12446100.00278,40000000,-0.17409575258909993,-1.063862375190541,0.018016638694761413,BitFlip,3
LOT,Scrypt,PoW,14491014421.0,18406979840,0.13300517815842053,-1.0661278189438887,0.016864061125369274,LottoCoin,3
CIF,X11,PoW,211297638.500483,500000000,-0.21309711397607486,-0.9827386365799549,-0.011200785372731335,Crypto Improvement Fund,3
SPD,C11,PoW/PoS,11251342.1879021,19340594,-0.3788720058572227,0.9837906134851006,-0.33863701942136964,Stipend,0
POA,Proof-of-Authority,PoA,204479039.0,252460800,-0.38764604640293526,2.489737912447029,10.756982882933313,Poa Network,1
PUSHI,X11,PoW/PoS,2167827.1,25000000,-0.38469822882794497,1.1940522411369194,-0.4857333747288622,Pushi,0
ELP,XEVAN,PoW/PoS,419275.38,60000000,-0.34318046291906656,1.402588175275842,-0.6973876818901757,Ellerium,0
VLX,Scrypt,PoS,25570013.1348022,124000000,-0.2972963456968315,0.8797795937542994,-0.2392029807556427,Velox,0
ONT,VBFT,PoS,650848625.0,1000000000,-0.32697800012370365,1.4816925170287754,-0.13123340225069977,Ontology,0
CLO,Ethash,PoW,247612453.0,6500000000,-0.10726029161278323,-2.1141980701110445,0.33113270610788675,Callisto Network,3
TUBE,CryptoNight,PoW,80049082.9057215,1000000000,0.309211079586043,-2.321054248403334,0.33384354056338733,BitTube,3
PSD,Scrypt,PoW,4070212.1493016,21000000,-0.17433275931387693,-1.0638571823787888,0.01801756402557372,Poseidon,3
